id,senator_party,condition,pid7,pre_sexism_1,pre_sexism_2,pre_sexism_3,pre_sexism_4,pre_favorability,pre_vote,gender,age,newsinterest,post_favorability,post_vote,punishment_1,punishment_2,punishment_3,punishment_4,punishment_5,post_sexism_1,post_sexism_2,post_sexism_3,post_sexism_4
2625,Democrat,3,Lean Republican,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Neither disagree nor agree,7,6,Woman,35-44,Some of the time,6,6,,,,,,Disagree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree
2626,Democrat,2,Not very strong Democrat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,5,5,Man,25-34,Most of the time,5,5,Agree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
2627,Republican,1,Independent,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,9,9,Woman,35-44,Most of the time,9,9,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree somewhat,Agree strongly,Agree somewhat,Disagree somewhat,Agree somewhat
2628,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Man,25-34,Most of the time,10,10,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2629,Republican,3,Not very strong Republican,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,6,7,Woman,35-44,Only now and then,7,7,,,,,,Agree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree
2630,Republican,3,Strong Republican,Agree strongly,Agree strongly,Disagree somewhat,Agree strongly,7,8,Man,18-24,Most of the time,6,8,,,,,,Agree strongly,Agree strongly,Disagree somewhat,Agree strongly
2631,Republican,1,Not very strong Democrat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,7,5,Woman,45-54,Some of the time,3,0,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2632,Republican,1,Not very strong Democrat,Agree somewhat,Agree strongly,Neither disagree nor agree,Agree strongly,6,5,Man,35-44,Some of the time,6,5,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree strongly,Neither disagree nor agree,Agree strongly
2633,Democrat,1,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,8,Woman,25-34,Some of the time,6,6,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2634,Democrat,2,Lean Republican,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,7,5,Man,18-24,Most of the time,6,5,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree
2635,Republican,2,Lean Republican,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,6,6,Man,25-34,Most of the time,1,0,Disagree strongly,Agree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2636,Democrat,2,Strong Republican,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree somewhat,6,5,Prefer not to say,25-34,Hardly at all,1,2,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree
2637,Democrat,1,Strong Republican,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,6,2,Woman,35-44,Most of the time,5,2,Agree strongly,Disagree somewhat,Agree somewhat,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree strongly,Agree strongly,Agree somewhat
2638,Republican,3,Lean Republican,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,8,7,Man,35-44,Most of the time,9,8,,,,,,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
2639,Republican,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,1,0,Man,35-44,Most of the time,0,0,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2640,Republican,1,Strong Republican,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree strongly,8,9,Man,25-34,Hardly at all,6,8,Agree somewhat,Neither disagree nor agree,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat,Neither disagree nor agree
2641,Republican,1,Independent,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,5,5,Man,25-34,Some of the time,2,1,Disagree strongly,Agree strongly,Agree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly
2642,Democrat,1,Strong Republican,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,8,2,Man,25-34,Most of the time,9,2,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree
2643,Democrat,2,Lean Democrat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,5,7,Woman,25-34,Some of the time,3,3,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree
2644,Republican,2,Independent,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,6,5,Woman,55-64,Some of the time,5,5,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat
2645,Republican,2,Independent,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,7,6,Man,55-64,Most of the time,7,6,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree strongly,Disagree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat
2646,Democrat,3,Strong Republican,Disagree strongly,Agree somewhat,Agree strongly,Disagree strongly,6,3,Woman,55-64,Most of the time,8,4,,,,,,Disagree strongly,Agree somewhat,Agree strongly,Disagree strongly
2647,Democrat,3,Independent,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,8,5,Woman,25-34,Some of the time,8,5,,,,,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
2648,Republican,1,Lean Democrat,Disagree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree,8,7,Man,18-24,Only now and then,6,4,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Neither disagree nor agree
2649,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,7,Woman,35-44,Most of the time,4,3,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2650,Republican,3,Independent,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,8,7,Woman,65 or over,Most of the time,8,7,,,,,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
2651,Republican,1,Strong Republican,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,9,Woman,55-64,Most of the time,9,9,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2652,Republican,2,Strong Republican,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,7,5,Man,35-44,Some of the time,6,5,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree strongly,Neither disagree nor agree,Agree strongly
2653,Republican,1,Not very strong Republican,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,9,9,Woman,65 or over,Most of the time,9,9,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat
2654,Democrat,1,Lean Democrat,Agree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree,3,5,Woman,35-44,Most of the time,4,3,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree
2655,Democrat,2,Independent,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,9,9,Woman,45-54,Most of the time,2,0,Disagree strongly,Agree strongly,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly
2656,Democrat,1,Lean Republican,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Neither disagree nor agree,5,0,Man,35-44,Hardly at all,5,0,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
2657,Republican,2,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,5,Woman,65 or over,Most of the time,0,0,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2658,Democrat,3,Independent,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Agree somewhat,6,5,Woman,25-34,Hardly at all,5,6,,,,,,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
2659,Democrat,2,Independent,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,2,6,Woman,25-34,Hardly at all,3,4,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
2660,Republican,1,Lean Democrat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,5,5,Woman,18-24,Only now and then,5,5,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
2661,Democrat,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,9,Woman,35-44,Most of the time,4,2,Disagree strongly,Agree strongly,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2662,Republican,1,Independent,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,6,7,Man,18-24,Most of the time,6,6,Agree strongly,Disagree somewhat,Agree somewhat,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Disagree somewhat
2663,Republican,1,Lean Democrat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree somewhat,8,5,Woman,35-44,Only now and then,3,5,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree strongly,Disagree somewhat
2664,Democrat,1,Not very strong Republican,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly,8,5,Woman,45-54,Some of the time,7,5,Agree strongly,Neither disagree nor agree,Agree strongly,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree strongly
2665,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,7,5,Woman,25-34,Some of the time,0,0,Disagree strongly,Agree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
2666,Democrat,1,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Woman,25-34,Some of the time,10,10,Neither disagree nor agree,Agree somewhat,Agree strongly,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2667,Republican,2,Independent,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,7,7,Woman,25-34,Hardly at all,5,5,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
2668,Republican,3,Strong Democrat,Agree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,5,3,Woman,25-34,Some of the time,5,3,,,,,,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat
2669,Democrat,1,Lean Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,5,6,Woman,18-24,Some of the time,4,3,Disagree somewhat,Agree strongly,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
2670,Democrat,1,Strong Democrat,Disagree strongly,Neither disagree nor agree,Agree somewhat,Disagree somewhat,9,10,Woman,35-44,Most of the time,7,8,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Agree strongly,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree somewhat
2671,Republican,2,Lean Republican,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,5,4,Man,35-44,Most of the time,1,1,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
2672,Republican,3,Not very strong Democrat,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree strongly,7,7,Woman,25-34,Most of the time,7,7,,,,,,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree strongly
2673,Republican,3,Lean Republican,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat,8,8,Woman,35-44,Some of the time,8,9,,,,,,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat
2674,Democrat,1,Strong Republican,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,8,4,Woman,35-44,Most of the time,5,1,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Neither disagree nor agree
2675,Democrat,2,Independent,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,1,1,Man,25-34,Most of the time,0,0,Agree strongly,Disagree strongly,Neither disagree nor agree,Agree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree
2676,Democrat,2,Lean Republican,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,8,8,Woman,35-44,Some of the time,8,6,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
2677,Republican,1,Independent,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat,8,9,Man,25-34,Only now and then,7,8,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat
2678,Republican,1,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,6,Man,45-54,Most of the time,5,2,Disagree strongly,Agree somewhat,Disagree strongly,Agree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2679,Republican,2,Strong Republican,Disagree strongly,Agree somewhat,Agree somewhat,Disagree strongly,10,10,Woman,55-64,Most of the time,5,3,Disagree strongly,Agree strongly,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,Disagree strongly
2680,Republican,2,Independent,Neither disagree nor agree,Disagree somewhat,Disagree strongly,Disagree somewhat,4,1,Man,45-54,Most of the time,3,1,Disagree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat
2681,Republican,2,Strong Republican,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,7,7,Man,25-34,Some of the time,6,6,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat
2682,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,6,Woman,35-44,Most of the time,4,2,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2683,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,7,7,Woman,25-34,Some of the time,3,1,Disagree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
2684,Democrat,3,Strong Democrat,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,8,10,Woman,55-64,Most of the time,8,10,,,,,,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly
2685,Republican,2,Lean Democrat,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat,5,5,Man,55-64,Most of the time,0,0,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly
2686,Democrat,2,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,9,Man,25-34,Most of the time,9,10,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2687,Democrat,2,Not sure,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat,5,5,Man,35-44,Only now and then,5,5,Agree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat
2688,Democrat,2,Strong Republican,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,6,7,Woman,45-54,Most of the time,4,5,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree strongly,Agree strongly,Agree strongly,Agree strongly
2689,Democrat,2,Lean Republican,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,6,7,Woman,45-54,Most of the time,6,7,Agree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
2690,Democrat,2,Strong Democrat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,8,8,Woman,35-44,Most of the time,0,0,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly
2691,Democrat,1,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,9,8,Woman,25-34,Most of the time,6,9,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
2692,Democrat,2,Not sure,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,7,7,Woman,35-44,Some of the time,5,5,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
2693,Democrat,3,Independent,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,5,0,Woman,45-54,Most of the time,5,5,,,,,,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree
2694,Republican,2,Independent,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,7,4,Man,18-24,Hardly at all,0,0,Agree somewhat,Disagree strongly,Disagree somewhat,Agree strongly,Agree strongly,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat
2695,Democrat,3,Strong Republican,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,5,1,Man,35-44,Most of the time,2,3,,,,,,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
2696,Democrat,1,Strong Republican,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,5,2,Man,25-34,Some of the time,5,2,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
2697,Democrat,3,Independent,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,10,10,Woman,25-34,Most of the time,10,10,,,,,,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
2698,Republican,2,Lean Republican,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Neither disagree nor agree,9,10,Woman,25-34,Some of the time,8,9,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Neither disagree nor agree
2699,Republican,1,Strong Republican,Disagree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree,8,9,Man,35-44,Most of the time,8,9,Agree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Disagree somewhat
2700,Democrat,3,Independent,Agree somewhat,Agree strongly,Disagree strongly,Agree somewhat,8,9,Man,35-44,Most of the time,9,9,,,,,,Agree strongly,Agree somewhat,Disagree strongly,Agree somewhat
2701,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,7,Woman,25-34,Most of the time,7,7,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2702,Democrat,2,Independent,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,7,5,Woman,65 or over,Most of the time,5,5,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat
2703,Republican,1,Independent,Agree somewhat,Agree strongly,Disagree somewhat,Agree strongly,8,8,Man,25-34,Most of the time,7,7,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree strongly,Agree somewhat,Agree somewhat,Agree strongly,Disagree somewhat,Agree strongly
2704,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Woman,45-54,Most of the time,1,1,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2705,Democrat,1,Lean Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,9,Woman,45-54,Only now and then,5,8,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2706,Democrat,1,Strong Democrat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,8,8,Woman,25-34,Some of the time,8,8,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree strongly
2707,Democrat,3,Lean Democrat,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat,7,6,Man,55-64,Most of the time,7,6,,,,,,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat
2708,Republican,2,Not very strong Democrat,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,8,5,Prefer not to say,35-44,Only now and then,1,0,Disagree strongly,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
2709,Democrat,1,Not very strong Republican,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,8,8,Man,45-54,Some of the time,8,8,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
2710,Democrat,2,Independent,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,9,9,Woman,25-34,Most of the time,3,3,Disagree somewhat,Agree somewhat,Agree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree somewhat
2711,Republican,3,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,7,3,Man,25-34,Most of the time,6,3,,,,,,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
2712,Republican,3,Strong Democrat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,5,4,Woman,35-44,Some of the time,5,4,,,,,,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree
2713,Republican,1,Independent,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly,8,5,Woman,45-54,Some of the time,5,5,Agree strongly,Disagree somewhat,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree somewhat
2714,Democrat,2,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Woman,55-64,Some of the time,5,5,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2715,Democrat,1,Independent,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,8,7,Woman,35-44,Most of the time,5,5,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat
2716,Republican,2,Not sure,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,9,5,Woman,25-34,Some of the time,7,5,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
2717,Republican,3,Lean Democrat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat,7,7,Woman,35-44,Some of the time,8,8,,,,,,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat
2718,Democrat,2,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Woman,18-24,Some of the time,3,5,Disagree strongly,Agree strongly,Disagree strongly,Agree somewhat,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2719,Republican,1,Lean Democrat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,9,8,Woman,25-34,Only now and then,3,4,Neither disagree nor agree,Neither disagree nor agree,Agree strongly,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree
2720,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,6,Woman,35-44,Most of the time,7,6,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
2721,Republican,3,Strong Democrat,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,7,8,Woman,35-44,Most of the time,7,8,,,,,,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Disagree somewhat
